Price,Currency,Location,Rooms,Area,Floor
140 000,AZN,İnşaatçılar m.,2 otaqlı,50 m²,4/5 mərtəbə
414 000,AZN,Gənclik m.,3 otaqlı,140.8 m²,15/17 mərtəbə
235 000,AZN,28 May m.,3 otaqlı,70 m²,6/6 mərtəbə
335 000,AZN,Nəsimi r.,3 otaqlı,150 m²,4/17 mərtəbə
159 000,AZN,Həzi Aslanov m.,2 otaqlı,76 m²,11/16 mərtəbə
125 000,AZN,Gənclik m.,2 otaqlı,35 m²,5/5 mərtəbə
295 000,AZN,Nizami m.,3 otaqlı,115 m²,14/16 mərtəbə
650 000,AZN,28 May m.,3 otaqlı,106 m²,6/25 mərtəbə
285 000,AZN,Nəriman Nərimanov m.,3 otaqlı,90 m²,15/18 mərtəbə
118 000,AZN,Avtovağzal m.,2 otaqlı,68.5 m²,5/15 mərtəbə
218 000,AZN,Neftçilər m.,2 otaqlı,98.3 m²,12/18 mərtəbə
125 000,AZN,Bakıxanov q.,3 otaqlı,60 m²,2/5 mərtəbə
138 000,AZN,Avtovağzal m.,2 otaqlı,89.1 m²,9/16 mərtəbə
230 000,AZN,Şah İsmayıl Xətai m.,3 otaqlı,102 m²,15/24 mərtəbə
110 000,AZN,Masazır q.,3 otaqlı,90 m²,3/7 mərtəbə
204 000,AZN,Yasamal r.,3 otaqlı,90 m²,9/9 mərtəbə
166 000,AZN,Bakıxanov q.,3 otaqlı,91 m²,12/14 mərtəbə
420 000,AZN,Elmlər Akademiyası m.,3 otaqlı,119.1 m²,11/18 mərtəbə
1 200 000,AZN,Gənclik m.,5 otaqlı,300 m²,4/9 mərtəbə
179 000,AZN,20 Yanvar m.,2 otaqlı,70 m²,4/16 mərtəbə
130 000,AZN,Lökbatan q.,4 otaqlı,92 m²,4/5 mərtəbə
145 000,AZN,Bayıl q.,3 otaqlı,160 m²,6/6 mərtəbə
421 000,AZN,Nəsimi r.,4 otaqlı,171 m²,7/17 mərtəbə
225 000,AZN,Qaraçuxur q.,3 otaqlı,110 m²,12/14 mərtəbə
400 000,AZN,Nərimanov r.,3 otaqlı,145 m²,6/17 mərtəbə
218 000,AZN,Nəsimi r.,2 otaqlı,69 m²,18/22 mərtəbə
200 000,AZN,Həzi Aslanov m.,3 otaqlı,125 m²,18/19 mərtəbə
197 000,AZN,Nəsimi r.,2 otaqlı,66 m²,12/17 mərtəbə
140 948,AZN,20 Yanvar m.,2 otaqlı,66.8 m²,12/14 mərtəbə
159 000,AZN,Nizami m.,2 otaqlı,54 m²,5/14 mərtəbə
248 000,AZN,Memar Əcəmi m.,4 otaqlı,122.7 m²,9/11 mərtəbə
72 000,AZN,Masazır q.,2 otaqlı,60 m²,2/13 mərtəbə
93 000,AZN,Zabrat q.,4 otaqlı,112 m²,5/6 mərtəbə
185 000,AZN,Əhmədli m.,3 otaqlı,80 m²,2/9 mərtəbə
229 000,AZN,8 Noyabr m.,3 otaqlı,95 m²,14/16 mərtəbə
163 000,AZN,Memar Əcəmi m.,3 otaqlı,85 m²,8/9 mərtəbə
237 000,AZN,Nəsimi r.,2 otaqlı,68 m²,14/18 mərtəbə
89 000,AZN,Biləcəri q.,3 otaqlı,47 m²,4/5 mərtəbə
